"","cell_type","0","1","virus"
"1995","Muller glia cells",2,1,"UP000006716"
"1996","NK-cells",3,NA,"UP000006716"
"1997","Oligodendrocyte precursor cells",3,NA,"UP000006716"
"1998","Oligodendrocytes",3,NA,"UP000006716"
"1999","Oocytes",3,NA,"UP000006716"
"2000","Ovarian stromal cells",3,NA,"UP000006716"
"2001","Pancreatic endocrine cells",3,NA,"UP000006716"
"2002","Paneth cells",3,NA,"UP000006716"
"2003","Peritubular cells",3,NA,"UP000006716"
"2004","Plasma cells",3,NA,"UP000006716"
"2005","Prostatic glandular cells",3,NA,"UP000006716"
"2006","Proximal enterocytes",3,NA,"UP000006716"
"2007","Proximal tubular cells",2,1,"UP000006716"
"2008","Rod photoreceptor cells",3,NA,"UP000006716"
"2009","Salivary duct cells",3,NA,"UP000006716"
"2010","Schwann cells",3,NA,"UP000006716"
"2011","Secretory cells",3,NA,"UP000006716"
"2012","Serous glandular cells",3,NA,"UP000006716"
"2013","Sertoli cells",3,NA,"UP000006716"
"2014","Skeletal myocytes",3,NA,"UP000006716"
"2015","Smooth muscle cells",3,NA,"UP000006716"
"2016","Spermatocytes",2,1,"UP000006716"
"2017","Spermatogonia",3,NA,"UP000006716"
"2018","Squamous epithelial cells",3,NA,"UP000006716"
"2019","Suprabasal keratinocytes",3,NA,"UP000006716"
"2020","Syncytiotrophoblasts",3,NA,"UP000006716"
"2021","T-cells",3,NA,"UP000006716"
"2022","Undifferentiated cells",3,NA,"UP000006716"
"2023","dendritic cells",3,NA,"UP000006716"
"2024","granulocytes",3,NA,"UP000006716"
"2025","monocytes",3,NA,"UP000006716"
"2026","Adipocytes",274,78,"UP000000938"
"2027","Alveolar cells type 1",309,43,"UP000000938"
"2028","Alveolar cells type 2",300,52,"UP000000938"
"2029","Astrocytes",205,147,"UP000000938"
"2030","B-cells",326,26,"UP000000938"
"2031","Basal keratinocytes",294,58,"UP000000938"
"2032","Basal prostatic cells",276,76,"UP000000938"
"2033","Basal respiratory cells",311,41,"UP000000938"
"2034","Basal squamous epithelial cells",271,81,"UP000000938"
"2035","Bipolar cells",235,117,"UP000000938"
"2036","Breast glandular cells",327,25,"UP000000938"
"2037","Breast myoepithelial cells",302,50,"UP000000938"
"2038","Cardiomyocytes",288,64,"UP000000938"
"2039","Cholangiocytes",323,29,"UP000000938"
"2040","Ciliated cells",298,54,"UP000000938"
"2041","Club cells",320,32,"UP000000938"
"2042","Collecting duct cells",292,60,"UP000000938"
"2043","Cone photoreceptor cells",283,69,"UP000000938"
"2044","Cytotrophoblasts",333,19,"UP000000938"
"2045","Distal enterocytes",268,84,"UP000000938"
"2046","Distal tubular cells",316,36,"UP000000938"
"2047","Ductal cells",286,66,"UP000000938"
"2048","Early spermatids",216,136,"UP000000938"
"2049","Endometrial stromal cells",288,64,"UP000000938"
"2050","Endothelial cells",296,56,"UP000000938"
"2051","Enteroendocrine cells",279,73,"UP000000938"
"2052","Erythroid cells",316,36,"UP000000938"
"2053","Excitatory neurons",185,167,"UP000000938"
"2054","Exocrine glandular cells",335,17,"UP000000938"
"2055","Extravillous trophoblasts",305,47,"UP000000938"
"2056","Fibroblasts",279,73,"UP000000938"
"2057","Gastric mucus-secreting cells",322,30,"UP000000938"
"2058","Glandular and luminal cells",297,55,"UP000000938"
"2059","Granulosa cells",284,68,"UP000000938"
"2060","Hepatocytes",298,54,"UP000000938"
"2061","Hofbauer cells",305,47,"UP000000938"
"2062","Horizontal cells",237,115,"UP000000938"
"2063","Inhibitory neurons",176,176,"UP000000938"
"2064","Intestinal goblet cells",303,49,"UP000000938"
"2065","Ionocytes",335,17,"UP000000938"
"2066","Kupffer cells",294,58,"UP000000938"
"2067","Langerhans cells",312,40,"UP000000938"
"2068","Late spermatids",213,139,"UP000000938"
"2069","Leydig cells",288,64,"UP000000938"
"2070","Lymphatic endothelial cells",297,55,"UP000000938"
"2071","Macrophages",319,33,"UP000000938"
"2072","Melanocytes",306,46,"UP000000938"
"2073","Mesothelial cells",304,48,"UP000000938"
"2074","Microglial cells",240,112,"UP000000938"
"2075","Mucus glandular cells",299,53,"UP000000938"
"2076","Muller glia cells",262,90,"UP000000938"
"2077","NK-cells",288,64,"UP000000938"
"2078","Oligodendrocyte precursor cells",192,160,"UP000000938"
"2079","Oligodendrocytes",214,138,"UP000000938"
"2080","Oocytes",269,83,"UP000000938"
"2081","Ovarian stromal cells",315,37,"UP000000938"
"2082","Pancreatic endocrine cells",300,52,"UP000000938"
"2083","Paneth cells",279,73,"UP000000938"
"2084","Peritubular cells",300,52,"UP000000938"
"2085","Plasma cells",317,35,"UP000000938"
"2086","Prostatic glandular cells",282,70,"UP000000938"
"2087","Proximal enterocytes",282,70,"UP000000938"
"2088","Proximal tubular cells",318,34,"UP000000938"
"2089","Rod photoreceptor cells",259,93,"UP000000938"
"2090","Salivary duct cells",311,41,"UP000000938"
"2091","Schwann cells",289,63,"UP000000938"
"2092","Secretory cells",304,48,"UP000000938"
"2093","Serous glandular cells",316,36,"UP000000938"
"2094","Sertoli cells",321,31,"UP000000938"
"2095","Skeletal myocytes",252,100,"UP000000938"
"2096","Smooth muscle cells",274,78,"UP000000938"
"2097","Spermatocytes",275,77,"UP000000938"
"2098","Spermatogonia",280,72,"UP000000938"
"2099","Squamous epithelial cells",279,73,"UP000000938"
"2100","Suprabasal keratinocytes",273,79,"UP000000938"
"2101","Syncytiotrophoblasts",293,59,"UP000000938"
"2102","T-cells",286,66,"UP000000938"
"2103","Undifferentiated cells",317,35,"UP000000938"
"2104","dendritic cells",278,74,"UP000000938"
"2105","granulocytes",318,34,"UP000000938"
"2106","monocytes",265,87,"UP000000938"
"2107","Adipocytes",1,NA,"UP000143570"
"2108","Alveolar cells type 1",1,NA,"UP000143570"
"2109","Alveolar cells type 2",1,NA,"UP000143570"
"2110","Astrocytes",1,NA,"UP000143570"
"2111","B-cells",1,NA,"UP000143570"
"2112","Basal keratinocytes",1,NA,"UP000143570"
"2113","Basal prostatic cells",1,NA,"UP000143570"
"2114","Basal respiratory cells",1,NA,"UP000143570"
"2115","Basal squamous epithelial cells",1,NA,"UP000143570"
"2116","Bipolar cells",1,NA,"UP000143570"
"2117","Breast glandular cells",1,NA,"UP000143570"
"2118","Breast myoepithelial cells",1,NA,"UP000143570"
"2119","Cardiomyocytes",1,NA,"UP000143570"
"2120","Cholangiocytes",1,NA,"UP000143570"
"2121","Ciliated cells",1,NA,"UP000143570"
"2122","Club cells",1,NA,"UP000143570"
"2123","Collecting duct cells",1,NA,"UP000143570"
"2124","Cone photoreceptor cells",1,NA,"UP000143570"
"2125","Cytotrophoblasts",1,NA,"UP000143570"
"2126","Distal enterocytes",1,NA,"UP000143570"
"2127","Distal tubular cells",1,NA,"UP000143570"
"2128","Ductal cells",1,NA,"UP000143570"
"2129","Early spermatids",1,NA,"UP000143570"
"2130","Endometrial stromal cells",1,NA,"UP000143570"
"2131","Endothelial cells",1,NA,"UP000143570"
"2132","Enteroendocrine cells",1,NA,"UP000143570"
"2133","Erythroid cells",NA,1,"UP000143570"
"2134","Excitatory neurons",1,NA,"UP000143570"
"2135","Exocrine glandular cells",1,NA,"UP000143570"
"2136","Extravillous trophoblasts",1,NA,"UP000143570"
"2137","Fibroblasts",1,NA,"UP000143570"
"2138","Gastric mucus-secreting cells",1,NA,"UP000143570"
"2139","Glandular and luminal cells",1,NA,"UP000143570"
"2140","Granulosa cells",1,NA,"UP000143570"
"2141","Hepatocytes",1,NA,"UP000143570"
"2142","Hofbauer cells",1,NA,"UP000143570"
"2143","Horizontal cells",1,NA,"UP000143570"
"2144","Inhibitory neurons",1,NA,"UP000143570"
"2145","Intestinal goblet cells",1,NA,"UP000143570"
"2146","Ionocytes",1,NA,"UP000143570"
"2147","Kupffer cells",1,NA,"UP000143570"
"2148","Langerhans cells",1,NA,"UP000143570"
"2149","Late spermatids",1,NA,"UP000143570"
"2150","Leydig cells",1,NA,"UP000143570"
"2151","Lymphatic endothelial cells",1,NA,"UP000143570"
"2152","Macrophages",1,NA,"UP000143570"
"2153","Melanocytes",1,NA,"UP000143570"
"2154","Mesothelial cells",1,NA,"UP000143570"
"2155","Microglial cells",1,NA,"UP000143570"
"2156","Mucus glandular cells",1,NA,"UP000143570"
"2157","Muller glia cells",1,NA,"UP000143570"
"2158","NK-cells",1,NA,"UP000143570"
"2159","Oligodendrocyte precursor cells",1,NA,"UP000143570"
"2160","Oligodendrocytes",1,NA,"UP000143570"
"2161","Oocytes",NA,1,"UP000143570"
"2162","Ovarian stromal cells",1,NA,"UP000143570"
"2163","Pancreatic endocrine cells",1,NA,"UP000143570"
"2164","Paneth cells",1,NA,"UP000143570"
"2165","Peritubular cells",1,NA,"UP000143570"
"2166","Plasma cells",1,NA,"UP000143570"
"2167","Prostatic glandular cells",1,NA,"UP000143570"
"2168","Proximal enterocytes",1,NA,"UP000143570"
"2169","Proximal tubular cells",1,NA,"UP000143570"
"2170","Rod photoreceptor cells",1,NA,"UP000143570"
"2171","Salivary duct cells",1,NA,"UP000143570"
"2172","Schwann cells",1,NA,"UP000143570"
"2173","Secretory cells",1,NA,"UP000143570"
"2174","Serous glandular cells",1,NA,"UP000143570"
"2175","Sertoli cells",1,NA,"UP000143570"
"2176","Skeletal myocytes",1,NA,"UP000143570"
"2177","Smooth muscle cells",1,NA,"UP000143570"
"2178","Spermatocytes",NA,1,"UP000143570"
"2179","Spermatogonia",NA,1,"UP000143570"
"2180","Squamous epithelial cells",1,NA,"UP000143570"
"2181","Suprabasal keratinocytes",1,NA,"UP000143570"
"2182","Syncytiotrophoblasts",1,NA,"UP000143570"
"2183","T-cells",1,NA,"UP000143570"
"2184","Undifferentiated cells",1,NA,"UP000143570"
"2185","dendritic cells",1,NA,"UP000143570"
"2186","granulocytes",1,NA,"UP000143570"
"2187","monocytes",1,NA,"UP000143570"
"2188","Adipocytes",1,NA,"UP000008683"
"2189","Alveolar cells type 1",1,NA,"UP000008683"
"2190","Alveolar cells type 2",1,NA,"UP000008683"
"2191","Astrocytes",1,NA,"UP000008683"
"2192","B-cells",1,NA,"UP000008683"
"2193","Basal keratinocytes",1,NA,"UP000008683"
"2194","Basal prostatic cells",1,NA,"UP000008683"
"2195","Basal respiratory cells",1,NA,"UP000008683"
"2196","Basal squamous epithelial cells",1,NA,"UP000008683"
"2197","Bipolar cells",1,NA,"UP000008683"
"2198","Breast glandular cells",1,NA,"UP000008683"
"2199","Breast myoepithelial cells",1,NA,"UP000008683"
"2200","Cardiomyocytes",1,NA,"UP000008683"
"2201","Cholangiocytes",1,NA,"UP000008683"
"2202","Ciliated cells",1,NA,"UP000008683"
"2203","Club cells",1,NA,"UP000008683"
"2204","Collecting duct cells",1,NA,"UP000008683"
"2205","Cone photoreceptor cells",1,NA,"UP000008683"
"2206","Cytotrophoblasts",1,NA,"UP000008683"
"2207","Distal enterocytes",1,NA,"UP000008683"
"2208","Distal tubular cells",1,NA,"UP000008683"
"2209","Ductal cells",1,NA,"UP000008683"
"2210","Early spermatids",1,NA,"UP000008683"
"2211","Endometrial stromal cells",1,NA,"UP000008683"
"2212","Endothelial cells",1,NA,"UP000008683"
"2213","Enteroendocrine cells",1,NA,"UP000008683"
"2214","Erythroid cells",NA,1,"UP000008683"
"2215","Excitatory neurons",1,NA,"UP000008683"
"2216","Exocrine glandular cells",1,NA,"UP000008683"
"2217","Extravillous trophoblasts",1,NA,"UP000008683"
"2218","Fibroblasts",1,NA,"UP000008683"
"2219","Gastric mucus-secreting cells",1,NA,"UP000008683"
"2220","Glandular and luminal cells",1,NA,"UP000008683"
"2221","Granulosa cells",1,NA,"UP000008683"
"2222","Hepatocytes",1,NA,"UP000008683"
"2223","Hofbauer cells",1,NA,"UP000008683"
"2224","Horizontal cells",1,NA,"UP000008683"
"2225","Inhibitory neurons",1,NA,"UP000008683"
"2226","Intestinal goblet cells",1,NA,"UP000008683"
"2227","Ionocytes",1,NA,"UP000008683"
"2228","Kupffer cells",1,NA,"UP000008683"
"2229","Langerhans cells",1,NA,"UP000008683"
"2230","Late spermatids",1,NA,"UP000008683"
"2231","Leydig cells",1,NA,"UP000008683"
"2232","Lymphatic endothelial cells",1,NA,"UP000008683"
"2233","Macrophages",1,NA,"UP000008683"
"2234","Melanocytes",1,NA,"UP000008683"
"2235","Mesothelial cells",1,NA,"UP000008683"
"2236","Microglial cells",1,NA,"UP000008683"
"2237","Mucus glandular cells",1,NA,"UP000008683"
"2238","Muller glia cells",1,NA,"UP000008683"
"2239","NK-cells",1,NA,"UP000008683"
"2240","Oligodendrocyte precursor cells",1,NA,"UP000008683"
"2241","Oligodendrocytes",1,NA,"UP000008683"
"2242","Oocytes",NA,1,"UP000008683"
"2243","Ovarian stromal cells",1,NA,"UP000008683"
"2244","Pancreatic endocrine cells",1,NA,"UP000008683"
"2245","Paneth cells",1,NA,"UP000008683"
"2246","Peritubular cells",1,NA,"UP000008683"
"2247","Plasma cells",1,NA,"UP000008683"
"2248","Prostatic glandular cells",1,NA,"UP000008683"
"2249","Proximal enterocytes",1,NA,"UP000008683"
"2250","Proximal tubular cells",1,NA,"UP000008683"
"2251","Rod photoreceptor cells",1,NA,"UP000008683"
"2252","Salivary duct cells",1,NA,"UP000008683"
"2253","Schwann cells",1,NA,"UP000008683"
"2254","Secretory cells",1,NA,"UP000008683"
"2255","Serous glandular cells",1,NA,"UP000008683"
"2256","Sertoli cells",1,NA,"UP000008683"
"2257","Skeletal myocytes",1,NA,"UP000008683"
"2258","Smooth muscle cells",1,NA,"UP000008683"
"2259","Spermatocytes",NA,1,"UP000008683"
"2260","Spermatogonia",NA,1,"UP000008683"
"2261","Squamous epithelial cells",1,NA,"UP000008683"
"2262","Suprabasal keratinocytes",1,NA,"UP000008683"
"2263","Syncytiotrophoblasts",1,NA,"UP000008683"
"2264","T-cells",1,NA,"UP000008683"
"2265","Undifferentiated cells",1,NA,"UP000008683"
"2266","dendritic cells",1,NA,"UP000008683"
"2267","granulocytes",1,NA,"UP000008683"
"2268","monocytes",1,NA,"UP000008683"
"2269","Adipocytes",234,24,"UP000009294"
"2270","Alveolar cells type 1",231,27,"UP000009294"
"2271","Alveolar cells type 2",250,8,"UP000009294"
"2272","Astrocytes",165,93,"UP000009294"
"2273","B-cells",228,30,"UP000009294"
"2274","Basal keratinocytes",231,27,"UP000009294"
"2275","Basal prostatic cells",245,13,"UP000009294"
"2276","Basal respiratory cells",236,22,"UP000009294"
"2277","Basal squamous epithelial cells",169,89,"UP000009294"
"2278","Bipolar cells",145,113,"UP000009294"
"2279","Breast glandular cells",252,6,"UP000009294"
"2280","Breast myoepithelial cells",180,78,"UP000009294"
"2281","Cardiomyocytes",234,24,"UP000009294"
"2282","Cholangiocytes",252,6,"UP000009294"
"2283","Ciliated cells",242,16,"UP000009294"
"2284","Club cells",247,11,"UP000009294"
"2285","Collecting duct cells",237,21,"UP000009294"
"2286","Cone photoreceptor cells",217,41,"UP000009294"
"2287","Cytotrophoblasts",186,72,"UP000009294"
"2288","Distal enterocytes",245,13,"UP000009294"
"2289","Distal tubular cells",187,71,"UP000009294"
"2290","Ductal cells",247,11,"UP000009294"
"2291","Early spermatids",151,107,"UP000009294"
"2292","Endometrial stromal cells",230,28,"UP000009294"
"2293","Endothelial cells",234,24,"UP000009294"
"2294","Enteroendocrine cells",253,5,"UP000009294"
"2295","Erythroid cells",245,13,"UP000009294"
"2296","Excitatory neurons",142,116,"UP000009294"
"2297","Exocrine glandular cells",258,NA,"UP000009294"
"2298","Extravillous trophoblasts",221,37,"UP000009294"
"2299","Fibroblasts",172,86,"UP000009294"
"2300","Gastric mucus-secreting cells",238,20,"UP000009294"
"2301","Glandular and luminal cells",254,4,"UP000009294"
"2302","Granulosa cells",170,88,"UP000009294"
"2303","Hepatocytes",253,5,"UP000009294"
"2304","Hofbauer cells",239,19,"UP000009294"
"2305","Horizontal cells",226,32,"UP000009294"
"2306","Inhibitory neurons",150,108,"UP000009294"
"2307","Intestinal goblet cells",239,19,"UP000009294"
"2308","Ionocytes",248,10,"UP000009294"
"2309","Kupffer cells",239,19,"UP000009294"
"2310","Langerhans cells",245,13,"UP000009294"
"2311","Late spermatids",140,118,"UP000009294"
"2312","Leydig cells",180,78,"UP000009294"
"2313","Lymphatic endothelial cells",179,79,"UP000009294"
"2314","Macrophages",243,15,"UP000009294"
"2315","Melanocytes",187,71,"UP000009294"
"2316","Mesothelial cells",238,20,"UP000009294"
"2317","Microglial cells",166,92,"UP000009294"
"2318","Mucus glandular cells",257,1,"UP000009294"
"2319","Muller glia cells",223,35,"UP000009294"
"2320","NK-cells",246,12,"UP000009294"
"2321","Oligodendrocyte precursor cells",145,113,"UP000009294"
"2322","Oligodendrocytes",157,101,"UP000009294"
"2323","Oocytes",229,29,"UP000009294"
"2324","Ovarian stromal cells",237,21,"UP000009294"
"2325","Pancreatic endocrine cells",246,12,"UP000009294"
"2326","Paneth cells",249,9,"UP000009294"
"2327","Peritubular cells",233,25,"UP000009294"
"2328","Plasma cells",243,15,"UP000009294"
"2329","Prostatic glandular cells",244,14,"UP000009294"
"2330","Proximal enterocytes",243,15,"UP000009294"
"2331","Proximal tubular cells",180,78,"UP000009294"
"2332","Rod photoreceptor cells",215,43,"UP000009294"
"2333","Salivary duct cells",249,9,"UP000009294"
"2334","Schwann cells",248,10,"UP000009294"
"2335","Secretory cells",247,11,"UP000009294"
"2336","Serous glandular cells",248,10,"UP000009294"
"2337","Sertoli cells",238,20,"UP000009294"
"2338","Skeletal myocytes",224,34,"UP000009294"
"2339","Smooth muscle cells",240,18,"UP000009294"
"2340","Spermatocytes",223,35,"UP000009294"
"2341","Spermatogonia",235,23,"UP000009294"
"2342","Squamous epithelial cells",183,75,"UP000009294"
"2343","Suprabasal keratinocytes",176,82,"UP000009294"
"2344","Syncytiotrophoblasts",173,85,"UP000009294"
"2345","T-cells",247,11,"UP000009294"
"2346","Undifferentiated cells",255,3,"UP000009294"
"2347","dendritic cells",243,15,"UP000009294"
"2348","granulocytes",254,4,"UP000009294"
"2349","monocytes",215,43,"UP000009294"
"2350","Adipocytes",202,82,"UP000001874"
"2351","Alveolar cells type 1",204,80,"UP000001874"
"2352","Alveolar cells type 2",217,67,"UP000001874"
"2353","Astrocytes",174,110,"UP000001874"
"2354","B-cells",217,67,"UP000001874"
"2355","Basal keratinocytes",238,46,"UP000001874"
"2356","Basal prostatic cells",222,62,"UP000001874"
"2357","Basal respiratory cells",217,67,"UP000001874"
"2358","Basal squamous epithelial cells",212,72,"UP000001874"
"2359","Bipolar cells",205,79,"UP000001874"
"2360","Breast glandular cells",279,5,"UP000001874"
"2361","Breast myoepithelial cells",274,10,"UP000001874"
"2362","Cardiomyocytes",192,92,"UP000001874"
"2363","Cholangiocytes",282,2,"UP000001874"
"2364","Ciliated cells",210,74,"UP000001874"
"2365","Club cells",217,67,"UP000001874"
"2366","Collecting duct cells",257,27,"UP000001874"
"2367","Cone photoreceptor cells",235,49,"UP000001874"
"2368","Cytotrophoblasts",241,43,"UP000001874"
"2369","Distal enterocytes",276,8,"UP000001874"
"2370","Distal tubular cells",280,4,"UP000001874"
"2371","Ductal cells",218,66,"UP000001874"
"2372","Early spermatids",136,148,"UP000001874"
"2373","Endometrial stromal cells",270,14,"UP000001874"
"2374","Endothelial cells",207,77,"UP000001874"
"2375","Enteroendocrine cells",280,4,"UP000001874"
"2376","Erythroid cells",237,47,"UP000001874"
"2377","Excitatory neurons",157,127,"UP000001874"
"2378","Exocrine glandular cells",284,NA,"UP000001874"
"2379","Extravillous trophoblasts",203,81,"UP000001874"
"2380","Fibroblasts",265,19,"UP000001874"
"2381","Gastric mucus-secreting cells",242,42,"UP000001874"
"2382","Glandular and luminal cells",280,4,"UP000001874"
"2383","Granulosa cells",241,43,"UP000001874"
"2384","Hepatocytes",272,12,"UP000001874"
"2385","Hofbauer cells",280,4,"UP000001874"
"2386","Horizontal cells",264,20,"UP000001874"
"2387","Inhibitory neurons",148,136,"UP000001874"
"2388","Intestinal goblet cells",240,44,"UP000001874"
"2389","Ionocytes",217,67,"UP000001874"
"2390","Kupffer cells",210,74,"UP000001874"
"2391","Langerhans cells",279,5,"UP000001874"
"2392","Late spermatids",154,130,"UP000001874"
"2393","Leydig cells",258,26,"UP000001874"
"2394","Lymphatic endothelial cells",206,78,"UP000001874"
"2395","Macrophages",284,NA,"UP000001874"
"2396","Melanocytes",247,37,"UP000001874"
"2397","Mesothelial cells",246,38,"UP000001874"
"2398","Microglial cells",172,112,"UP000001874"
"2399","Mucus glandular cells",284,NA,"UP000001874"
"2400","Muller glia cells",240,44,"UP000001874"
"2401","NK-cells",268,16,"UP000001874"
"2402","Oligodendrocyte precursor cells",154,130,"UP000001874"
"2403","Oligodendrocytes",184,100,"UP000001874"
"2404","Oocytes",230,54,"UP000001874"
"2405","Ovarian stromal cells",266,18,"UP000001874"
"2406","Pancreatic endocrine cells",221,63,"UP000001874"
"2407","Paneth cells",276,8,"UP000001874"
"2408","Peritubular cells",263,21,"UP000001874"
"2409","Plasma cells",207,77,"UP000001874"
"2410","Prostatic glandular cells",266,18,"UP000001874"
"2411","Proximal enterocytes",214,70,"UP000001874"
"2412","Proximal tubular cells",243,41,"UP000001874"
"2413","Rod photoreceptor cells",198,86,"UP000001874"
"2414","Salivary duct cells",216,68,"UP000001874"
"2415","Schwann cells",283,1,"UP000001874"
"2416","Secretory cells",254,30,"UP000001874"
"2417","Serous glandular cells",215,69,"UP000001874"
"2418","Sertoli cells",246,38,"UP000001874"
"2419","Skeletal myocytes",207,77,"UP000001874"
"2420","Smooth muscle cells",265,19,"UP000001874"
"2421","Spermatocytes",191,93,"UP000001874"
"2422","Spermatogonia",223,61,"UP000001874"
"2423","Squamous epithelial cells",220,64,"UP000001874"
"2424","Suprabasal keratinocytes",242,42,"UP000001874"
"2425","Syncytiotrophoblasts",207,77,"UP000001874"
"2426","T-cells",265,19,"UP000001874"
"2427","Undifferentiated cells",283,1,"UP000001874"
"2428","dendritic cells",243,41,"UP000001874"
"2429","granulocytes",277,7,"UP000001874"
"2430","monocytes",209,75,"UP000001874"
"2431","Adipocytes",234,13,"UP000009295"
"2432","Alveolar cells type 1",69,178,"UP000009295"
"2433","Alveolar cells type 2",243,4,"UP000009295"
"2434","Astrocytes",56,191,"UP000009295"
"2435","B-cells",247,NA,"UP000009295"
"2436","Basal keratinocytes",76,171,"UP000009295"
"2437","Basal prostatic cells",237,10,"UP000009295"
"2438","Basal respiratory cells",244,3,"UP000009295"
"2439","Basal squamous epithelial cells",232,15,"UP000009295"
"2440","Bipolar cells",237,10,"UP000009295"
"2441","Breast glandular cells",247,NA,"UP000009295"
"2442","Breast myoepithelial cells",247,NA,"UP000009295"
"2443","Cardiomyocytes",61,186,"UP000009295"
"2444","Cholangiocytes",246,1,"UP000009295"
"2445","Ciliated cells",244,3,"UP000009295"
"2446","Club cells",241,6,"UP000009295"
"2447","Collecting duct cells",237,10,"UP000009295"
"2448","Cone photoreceptor cells",234,13,"UP000009295"
"2449","Cytotrophoblasts",239,8,"UP000009295"
"2450","Distal enterocytes",236,11,"UP000009295"
"2451","Distal tubular cells",244,3,"UP000009295"
"2452","Ductal cells",243,4,"UP000009295"
"2453","Early spermatids",233,14,"UP000009295"
"2454","Endometrial stromal cells",72,175,"UP000009295"
"2455","Endothelial cells",237,10,"UP000009295"
"2456","Enteroendocrine cells",242,5,"UP000009295"
"2457","Erythroid cells",240,7,"UP000009295"
"2458","Excitatory neurons",224,23,"UP000009295"
"2459","Exocrine glandular cells",247,NA,"UP000009295"
"2460","Extravillous trophoblasts",243,4,"UP000009295"
"2461","Fibroblasts",242,5,"UP000009295"
"2462","Gastric mucus-secreting cells",242,5,"UP000009295"
"2463","Glandular and luminal cells",245,2,"UP000009295"
"2464","Granulosa cells",243,4,"UP000009295"
"2465","Hepatocytes",243,4,"UP000009295"
"2466","Hofbauer cells",246,1,"UP000009295"
"2467","Horizontal cells",237,10,"UP000009295"
"2468","Inhibitory neurons",221,26,"UP000009295"
"2469","Intestinal goblet cells",240,7,"UP000009295"
"2470","Ionocytes",244,3,"UP000009295"
"2471","Kupffer cells",235,12,"UP000009295"
"2472","Langerhans cells",242,5,"UP000009295"
"2473","Late spermatids",233,14,"UP000009295"
"2474","Leydig cells",236,11,"UP000009295"
"2475","Lymphatic endothelial cells",70,177,"UP000009295"
"2476","Macrophages",245,2,"UP000009295"
"2477","Melanocytes",247,NA,"UP000009295"
"2478","Mesothelial cells",242,5,"UP000009295"
"2479","Microglial cells",231,16,"UP000009295"
"2480","Mucus glandular cells",247,NA,"UP000009295"
"2481","Muller glia cells",239,8,"UP000009295"
"2482","NK-cells",242,5,"UP000009295"
"2483","Oligodendrocyte precursor cells",220,27,"UP000009295"
"2484","Oligodendrocytes",212,35,"UP000009295"
"2485","Oocytes",231,16,"UP000009295"
"2486","Ovarian stromal cells",245,2,"UP000009295"
"2487","Pancreatic endocrine cells",241,6,"UP000009295"
"2488","Paneth cells",229,18,"UP000009295"
"2489","Peritubular cells",239,8,"UP000009295"
"2490","Plasma cells",245,2,"UP000009295"
"2491","Prostatic glandular cells",246,1,"UP000009295"
"2492","Proximal enterocytes",242,5,"UP000009295"
"2493","Proximal tubular cells",234,13,"UP000009295"
"2494","Rod photoreceptor cells",229,18,"UP000009295"
"2495","Salivary duct cells",244,3,"UP000009295"
"2496","Schwann cells",245,2,"UP000009295"
"2497","Secretory cells",237,10,"UP000009295"
"2498","Serous glandular cells",244,3,"UP000009295"
"2499","Sertoli cells",243,4,"UP000009295"
"2500","Skeletal myocytes",240,7,"UP000009295"
"2501","Smooth muscle cells",242,5,"UP000009295"
"2502","Spermatocytes",232,15,"UP000009295"
"2503","Spermatogonia",223,24,"UP000009295"
"2504","Squamous epithelial cells",242,5,"UP000009295"
"2505","Suprabasal keratinocytes",75,172,"UP000009295"
"2506","Syncytiotrophoblasts",238,9,"UP000009295"
"2507","T-cells",247,NA,"UP000009295"
"2508","Undifferentiated cells",243,4,"UP000009295"
"2509","dendritic cells",240,7,"UP000009295"
"2510","granulocytes",244,3,"UP000009295"
"2511","monocytes",240,7,"UP000009295"
"2512","Adipocytes",35,2,"UP000009246"
"2513","Alveolar cells type 1",32,5,"UP000009246"
"2514","Alveolar cells type 2",37,NA,"UP000009246"
"2515","Astrocytes",29,8,"UP000009246"
"2516","B-cells",33,4,"UP000009246"
"2517","Basal keratinocytes",37,NA,"UP000009246"
"2518","Basal prostatic cells",35,2,"UP000009246"
"2519","Basal respiratory cells",37,NA,"UP000009246"
"2520","Basal squamous epithelial cells",37,NA,"UP000009246"
"2521","Bipolar cells",32,5,"UP000009246"
"2522","Breast glandular cells",37,NA,"UP000009246"
"2523","Breast myoepithelial cells",37,NA,"UP000009246"
"2524","Cardiomyocytes",35,2,"UP000009246"
"2525","Cholangiocytes",37,NA,"UP000009246"
"2526","Ciliated cells",37,NA,"UP000009246"
"2527","Club cells",37,NA,"UP000009246"
"2528","Collecting duct cells",35,2,"UP000009246"
"2529","Cone photoreceptor cells",32,5,"UP000009246"
"2530","Cytotrophoblasts",34,3,"UP000009246"
"2531","Distal enterocytes",31,6,"UP000009246"
"2532","Distal tubular cells",36,1,"UP000009246"
"2533","Ductal cells",36,1,"UP000009246"
"2534","Early spermatids",26,11,"UP000009246"
"2535","Endometrial stromal cells",29,8,"UP000009246"
"2536","Endothelial cells",34,3,"UP000009246"
"2537","Enteroendocrine cells",37,NA,"UP000009246"
"2538","Erythroid cells",33,4,"UP000009246"
"2539","Excitatory neurons",30,7,"UP000009246"
"2540","Exocrine glandular cells",37,NA,"UP000009246"
"2541","Extravillous trophoblasts",35,2,"UP000009246"
"2542","Fibroblasts",35,2,"UP000009246"
