"","cell_type","0","1","virus"
"112","Fibroblasts",11,1,"UP000119554"
"113","Gastric mucus-secreting cells",12,NA,"UP000119554"
"114","Glandular and luminal cells",12,NA,"UP000119554"
"115","Granulosa cells",12,NA,"UP000119554"
"116","Hepatocytes",12,NA,"UP000119554"
"117","Hofbauer cells",12,NA,"UP000119554"
"118","Horizontal cells",11,1,"UP000119554"
"119","Inhibitory neurons",3,9,"UP000119554"
"120","Intestinal goblet cells",12,NA,"UP000119554"
"121","Ionocytes",12,NA,"UP000119554"
"122","Kupffer cells",12,NA,"UP000119554"
"123","Langerhans cells",12,NA,"UP000119554"
"124","Late spermatids",3,9,"UP000119554"
"125","Leydig cells",12,NA,"UP000119554"
"126","Lymphatic endothelial cells",11,1,"UP000119554"
"127","Macrophages",12,NA,"UP000119554"
"128","Melanocytes",12,NA,"UP000119554"
"129","Mesothelial cells",12,NA,"UP000119554"
"130","Microglial cells",10,2,"UP000119554"
"131","Mucus glandular cells",12,NA,"UP000119554"
"132","Muller glia cells",11,1,"UP000119554"
"133","NK-cells",8,4,"UP000119554"
"134","Oligodendrocyte precursor cells",6,6,"UP000119554"
"135","Oligodendrocytes",2,10,"UP000119554"
"136","Oocytes",6,6,"UP000119554"
"137","Ovarian stromal cells",12,NA,"UP000119554"
"138","Pancreatic endocrine cells",12,NA,"UP000119554"
"139","Paneth cells",12,NA,"UP000119554"
"140","Peritubular cells",12,NA,"UP000119554"
"141","Plasma cells",12,NA,"UP000119554"
"142","Prostatic glandular cells",12,NA,"UP000119554"
"143","Proximal enterocytes",12,NA,"UP000119554"
"144","Proximal tubular cells",12,NA,"UP000119554"
"145","Rod photoreceptor cells",12,NA,"UP000119554"
"146","Salivary duct cells",12,NA,"UP000119554"
"147","Schwann cells",11,1,"UP000119554"
"148","Secretory cells",12,NA,"UP000119554"
"149","Serous glandular cells",12,NA,"UP000119554"
"150","Sertoli cells",12,NA,"UP000119554"
"151","Skeletal myocytes",12,NA,"UP000119554"
"152","Smooth muscle cells",11,1,"UP000119554"
"153","Spermatocytes",5,7,"UP000119554"
"154","Spermatogonia",8,4,"UP000119554"
"155","Squamous epithelial cells",12,NA,"UP000119554"
"156","Suprabasal keratinocytes",12,NA,"UP000119554"
"157","Syncytiotrophoblasts",6,6,"UP000119554"
"158","T-cells",8,4,"UP000119554"
"159","Undifferentiated cells",12,NA,"UP000119554"
"160","dendritic cells",12,NA,"UP000119554"
"161","granulocytes",12,NA,"UP000119554"
"162","monocytes",12,NA,"UP000119554"
"163","Adipocytes",3,NA,"UP000000832"
"164","Alveolar cells type 1",3,NA,"UP000000832"
"165","Alveolar cells type 2",3,NA,"UP000000832"
"166","Astrocytes",3,NA,"UP000000832"
"167","B-cells",3,NA,"UP000000832"
"168","Basal keratinocytes",3,NA,"UP000000832"
"169","Basal prostatic cells",3,NA,"UP000000832"
"170","Basal respiratory cells",3,NA,"UP000000832"
"171","Basal squamous epithelial cells",3,NA,"UP000000832"
"172","Bipolar cells",3,NA,"UP000000832"
"173","Breast glandular cells",3,NA,"UP000000832"
"174","Breast myoepithelial cells",3,NA,"UP000000832"
"175","Cardiomyocytes",3,NA,"UP000000832"
"176","Cholangiocytes",3,NA,"UP000000832"
"177","Ciliated cells",3,NA,"UP000000832"
"178","Club cells",3,NA,"UP000000832"
"179","Collecting duct cells",3,NA,"UP000000832"
"180","Cone photoreceptor cells",3,NA,"UP000000832"
"181","Cytotrophoblasts",3,NA,"UP000000832"
"182","Distal enterocytes",3,NA,"UP000000832"
"183","Distal tubular cells",3,NA,"UP000000832"
"184","Ductal cells",2,1,"UP000000832"
"185","Early spermatids",3,NA,"UP000000832"
"186","Endometrial stromal cells",3,NA,"UP000000832"
"187","Endothelial cells",3,NA,"UP000000832"
"188","Enteroendocrine cells",3,NA,"UP000000832"
"189","Erythroid cells",3,NA,"UP000000832"
"190","Excitatory neurons",2,1,"UP000000832"
"191","Exocrine glandular cells",2,1,"UP000000832"
"192","Extravillous trophoblasts",3,NA,"UP000000832"
"193","Fibroblasts",2,1,"UP000000832"
"194","Gastric mucus-secreting cells",3,NA,"UP000000832"
"195","Glandular and luminal cells",3,NA,"UP000000832"
"196","Granulosa cells",3,NA,"UP000000832"
"197","Hepatocytes",3,NA,"UP000000832"
"198","Hofbauer cells",2,1,"UP000000832"
"199","Horizontal cells",3,NA,"UP000000832"
"200","Inhibitory neurons",2,1,"UP000000832"
"201","Intestinal goblet cells",3,NA,"UP000000832"
"202","Ionocytes",3,NA,"UP000000832"
"203","Kupffer cells",3,NA,"UP000000832"
"204","Langerhans cells",3,NA,"UP000000832"
"205","Late spermatids",3,NA,"UP000000832"
"206","Leydig cells",3,NA,"UP000000832"
"207","Lymphatic endothelial cells",3,NA,"UP000000832"
"208","Macrophages",2,1,"UP000000832"
"209","Melanocytes",3,NA,"UP000000832"
"210","Mesothelial cells",3,NA,"UP000000832"
"211","Microglial cells",3,NA,"UP000000832"
"212","Mucus glandular cells",3,NA,"UP000000832"
"213","Muller glia cells",3,NA,"UP000000832"
"214","NK-cells",3,NA,"UP000000832"
"215","Oligodendrocyte precursor cells",3,NA,"UP000000832"
"216","Oligodendrocytes",2,1,"UP000000832"
"217","Oocytes",3,NA,"UP000000832"
"218","Ovarian stromal cells",3,NA,"UP000000832"
"219","Pancreatic endocrine cells",2,1,"UP000000832"
"220","Paneth cells",3,NA,"UP000000832"
"221","Peritubular cells",3,NA,"UP000000832"
"222","Plasma cells",3,NA,"UP000000832"
"223","Prostatic glandular cells",3,NA,"UP000000832"
"224","Proximal enterocytes",2,1,"UP000000832"
"225","Proximal tubular cells",3,NA,"UP000000832"
"226","Rod photoreceptor cells",3,NA,"UP000000832"
"227","Salivary duct cells",3,NA,"UP000000832"
"228","Schwann cells",3,NA,"UP000000832"
"229","Secretory cells",3,NA,"UP000000832"
"230","Serous glandular cells",3,NA,"UP000000832"
"231","Sertoli cells",3,NA,"UP000000832"
"232","Skeletal myocytes",3,NA,"UP000000832"
"233","Smooth muscle cells",3,NA,"UP000000832"
"234","Spermatocytes",3,NA,"UP000000832"
"235","Spermatogonia",2,1,"UP000000832"
"236","Squamous epithelial cells",3,NA,"UP000000832"
"237","Suprabasal keratinocytes",3,NA,"UP000000832"
"238","Syncytiotrophoblasts",3,NA,"UP000000832"
"239","T-cells",3,NA,"UP000000832"
"240","Undifferentiated cells",3,NA,"UP000000832"
"241","dendritic cells",3,NA,"UP000000832"
"242","granulocytes",3,NA,"UP000000832"
"243","monocytes",3,NA,"UP000000832"
"244","Adipocytes",2,1,"UP000007609"
"245","Alveolar cells type 1",3,NA,"UP000007609"
"246","Alveolar cells type 2",3,NA,"UP000007609"
"247","Astrocytes",3,NA,"UP000007609"
"248","B-cells",3,NA,"UP000007609"
"249","Basal keratinocytes",3,NA,"UP000007609"
"250","Basal prostatic cells",3,NA,"UP000007609"
"251","Basal respiratory cells",3,NA,"UP000007609"
"252","Basal squamous epithelial cells",1,2,"UP000007609"
"253","Bipolar cells",3,NA,"UP000007609"
"254","Breast glandular cells",3,NA,"UP000007609"
"255","Breast myoepithelial cells",3,NA,"UP000007609"
"256","Cardiomyocytes",3,NA,"UP000007609"
"257","Cholangiocytes",3,NA,"UP000007609"
"258","Ciliated cells",3,NA,"UP000007609"
"259","Club cells",3,NA,"UP000007609"
"260","Collecting duct cells",3,NA,"UP000007609"
"261","Cone photoreceptor cells",3,NA,"UP000007609"
"262","Cytotrophoblasts",3,NA,"UP000007609"
"263","Distal enterocytes",3,NA,"UP000007609"
"264","Distal tubular cells",3,NA,"UP000007609"
"265","Ductal cells",3,NA,"UP000007609"
"266","Early spermatids",3,NA,"UP000007609"
"267","Endometrial stromal cells",3,NA,"UP000007609"
"268","Endothelial cells",3,NA,"UP000007609"
"269","Enteroendocrine cells",3,NA,"UP000007609"
"270","Erythroid cells",3,NA,"UP000007609"
"271","Excitatory neurons",3,NA,"UP000007609"
"272","Exocrine glandular cells",3,NA,"UP000007609"
"273","Extravillous trophoblasts",3,NA,"UP000007609"
"274","Fibroblasts",1,2,"UP000007609"
"275","Gastric mucus-secreting cells",1,2,"UP000007609"
"276","Glandular and luminal cells",3,NA,"UP000007609"
"277","Granulosa cells",3,NA,"UP000007609"
"278","Hepatocytes",3,NA,"UP000007609"
"279","Hofbauer cells",3,NA,"UP000007609"
"280","Horizontal cells",3,NA,"UP000007609"
"281","Inhibitory neurons",3,NA,"UP000007609"
"282","Intestinal goblet cells",3,NA,"UP000007609"
"283","Ionocytes",3,NA,"UP000007609"
"284","Kupffer cells",3,NA,"UP000007609"
"285","Langerhans cells",3,NA,"UP000007609"
"286","Late spermatids",3,NA,"UP000007609"
"287","Leydig cells",3,NA,"UP000007609"
"288","Lymphatic endothelial cells",2,1,"UP000007609"
"289","Macrophages",1,2,"UP000007609"
"290","Melanocytes",3,NA,"UP000007609"
"291","Mesothelial cells",3,NA,"UP000007609"
"292","Microglial cells",3,NA,"UP000007609"
"293","Mucus glandular cells",3,NA,"UP000007609"
"294","Muller glia cells",3,NA,"UP000007609"
"295","NK-cells",3,NA,"UP000007609"
"296","Oligodendrocyte precursor cells",3,NA,"UP000007609"
"297","Oligodendrocytes",1,2,"UP000007609"
"298","Oocytes",3,NA,"UP000007609"
"299","Ovarian stromal cells",3,NA,"UP000007609"
"300","Pancreatic endocrine cells",3,NA,"UP000007609"
"301","Paneth cells",3,NA,"UP000007609"
"302","Peritubular cells",3,NA,"UP000007609"
"303","Plasma cells",3,NA,"UP000007609"
"304","Prostatic glandular cells",3,NA,"UP000007609"
"305","Proximal enterocytes",3,NA,"UP000007609"
"306","Proximal tubular cells",3,NA,"UP000007609"
"307","Rod photoreceptor cells",3,NA,"UP000007609"
"308","Salivary duct cells",3,NA,"UP000007609"
"309","Schwann cells",3,NA,"UP000007609"
"310","Secretory cells",3,NA,"UP000007609"
"311","Serous glandular cells",3,NA,"UP000007609"
"312","Sertoli cells",3,NA,"UP000007609"
"313","Skeletal myocytes",3,NA,"UP000007609"
"314","Smooth muscle cells",3,NA,"UP000007609"
"315","Spermatocytes",3,NA,"UP000007609"
"316","Spermatogonia",3,NA,"UP000007609"
"317","Squamous epithelial cells",1,2,"UP000007609"
"318","Suprabasal keratinocytes",3,NA,"UP000007609"
"319","Syncytiotrophoblasts",3,NA,"UP000007609"
"320","T-cells",3,NA,"UP000007609"
"321","Undifferentiated cells",3,NA,"UP000007609"
"322","dendritic cells",3,NA,"UP000007609"
"323","granulocytes",3,NA,"UP000007609"
"324","monocytes",3,NA,"UP000007609"
"325","Adipocytes",4,NA,"UP000145981"
"326","Alveolar cells type 1",4,NA,"UP000145981"
"327","Alveolar cells type 2",4,NA,"UP000145981"
"328","Astrocytes",4,NA,"UP000145981"
"329","B-cells",4,NA,"UP000145981"
"330","Basal keratinocytes",4,NA,"UP000145981"
"331","Basal prostatic cells",4,NA,"UP000145981"
"332","Basal respiratory cells",4,NA,"UP000145981"
"333","Basal squamous epithelial cells",4,NA,"UP000145981"
"334","Bipolar cells",4,NA,"UP000145981"
"335","Breast glandular cells",4,NA,"UP000145981"
"336","Breast myoepithelial cells",4,NA,"UP000145981"
"337","Cardiomyocytes",4,NA,"UP000145981"
"338","Cholangiocytes",4,NA,"UP000145981"
"339","Ciliated cells",4,NA,"UP000145981"
"340","Club cells",4,NA,"UP000145981"
"341","Collecting duct cells",4,NA,"UP000145981"
"342","Cone photoreceptor cells",4,NA,"UP000145981"
"343","Cytotrophoblasts",4,NA,"UP000145981"
"344","Distal enterocytes",4,NA,"UP000145981"
"345","Distal tubular cells",4,NA,"UP000145981"
"346","Ductal cells",4,NA,"UP000145981"
"347","Early spermatids",NA,4,"UP000145981"
"348","Endometrial stromal cells",4,NA,"UP000145981"
"349","Endothelial cells",4,NA,"UP000145981"
"350","Enteroendocrine cells",4,NA,"UP000145981"
"351","Erythroid cells",4,NA,"UP000145981"
"352","Excitatory neurons",4,NA,"UP000145981"
"353","Exocrine glandular cells",4,NA,"UP000145981"
"354","Extravillous trophoblasts",4,NA,"UP000145981"
"355","Fibroblasts",4,NA,"UP000145981"
"356","Gastric mucus-secreting cells",4,NA,"UP000145981"
"357","Glandular and luminal cells",4,NA,"UP000145981"
"358","Granulosa cells",4,NA,"UP000145981"
"359","Hepatocytes",4,NA,"UP000145981"
"360","Hofbauer cells",4,NA,"UP000145981"
"361","Horizontal cells",4,NA,"UP000145981"
"362","Inhibitory neurons",4,NA,"UP000145981"
"363","Intestinal goblet cells",4,NA,"UP000145981"
"364","Ionocytes",4,NA,"UP000145981"
"365","Kupffer cells",4,NA,"UP000145981"
"366","Langerhans cells",4,NA,"UP000145981"
"367","Late spermatids",NA,4,"UP000145981"
"368","Leydig cells",4,NA,"UP000145981"
"369","Lymphatic endothelial cells",4,NA,"UP000145981"
"370","Macrophages",4,NA,"UP000145981"
"371","Melanocytes",4,NA,"UP000145981"
"372","Mesothelial cells",4,NA,"UP000145981"
"373","Microglial cells",4,NA,"UP000145981"
"374","Mucus glandular cells",4,NA,"UP000145981"
"375","Muller glia cells",4,NA,"UP000145981"
"376","NK-cells",4,NA,"UP000145981"
"377","Oligodendrocyte precursor cells",4,NA,"UP000145981"
"378","Oligodendrocytes",4,NA,"UP000145981"
"379","Oocytes",4,NA,"UP000145981"
"380","Ovarian stromal cells",4,NA,"UP000145981"
"381","Pancreatic endocrine cells",4,NA,"UP000145981"
"382","Paneth cells",4,NA,"UP000145981"
"383","Peritubular cells",4,NA,"UP000145981"
"384","Plasma cells",4,NA,"UP000145981"
"385","Prostatic glandular cells",4,NA,"UP000145981"
"386","Proximal enterocytes",4,NA,"UP000145981"
"387","Proximal tubular cells",4,NA,"UP000145981"
"388","Rod photoreceptor cells",4,NA,"UP000145981"
"389","Salivary duct cells",4,NA,"UP000145981"
"390","Schwann cells",4,NA,"UP000145981"
"391","Secretory cells",4,NA,"UP000145981"
"392","Serous glandular cells",4,NA,"UP000145981"
"393","Sertoli cells",4,NA,"UP000145981"
"394","Skeletal myocytes",4,NA,"UP000145981"
"395","Smooth muscle cells",4,NA,"UP000145981"
"396","Spermatocytes",4,NA,"UP000145981"
"397","Spermatogonia",4,NA,"UP000145981"
"398","Squamous epithelial cells",4,NA,"UP000145981"
"399","Suprabasal keratinocytes",4,NA,"UP000145981"
"400","Syncytiotrophoblasts",4,NA,"UP000145981"
"401","T-cells",4,NA,"UP000145981"
"402","Undifferentiated cells",4,NA,"UP000145981"
"403","dendritic cells",4,NA,"UP000145981"
"404","granulocytes",4,NA,"UP000145981"
"405","monocytes",4,NA,"UP000145981"
"406","Adipocytes",239,5,"UP000137988"
"407","Alveolar cells type 1",235,9,"UP000137988"
"408","Alveolar cells type 2",232,12,"UP000137988"
"409","Astrocytes",200,44,"UP000137988"
"410","B-cells",237,7,"UP000137988"
"411","Basal keratinocytes",237,7,"UP000137988"
"412","Basal prostatic cells",231,13,"UP000137988"
"413","Basal respiratory cells",240,4,"UP000137988"
"414","Basal squamous epithelial cells",228,16,"UP000137988"
"415","Bipolar cells",199,45,"UP000137988"
"416","Breast glandular cells",231,13,"UP000137988"
"417","Breast myoepithelial cells",221,23,"UP000137988"
"418","Cardiomyocytes",231,13,"UP000137988"
"419","Cholangiocytes",244,NA,"UP000137988"
"420","Ciliated cells",237,7,"UP000137988"
"421","Club cells",238,6,"UP000137988"
"422","Collecting duct cells",235,9,"UP000137988"
"423","Cone photoreceptor cells",216,28,"UP000137988"
"424","Cytotrophoblasts",235,9,"UP000137988"
"425","Distal enterocytes",225,19,"UP000137988"
"426","Distal tubular cells",237,7,"UP000137988"
"427","Ductal cells",242,2,"UP000137988"
"428","Early spermatids",192,52,"UP000137988"
"429","Endometrial stromal cells",220,24,"UP000137988"
"430","Endothelial cells",239,5,"UP000137988"
"431","Enteroendocrine cells",232,12,"UP000137988"
"432","Erythroid cells",235,9,"UP000137988"
"433","Excitatory neurons",177,67,"UP000137988"
"434","Exocrine glandular cells",244,NA,"UP000137988"
"435","Extravillous trophoblasts",234,10,"UP000137988"
"436","Fibroblasts",229,15,"UP000137988"
"437","Gastric mucus-secreting cells",238,6,"UP000137988"
"438","Glandular and luminal cells",233,11,"UP000137988"
"439","Granulosa cells",222,22,"UP000137988"
"440","Hepatocytes",225,19,"UP000137988"
